,assignmentid,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_easy,is_view_dep
8078,6719,scene0222_00-trash_can-3-16-17-34,"A blue waste basket, possibly for recycling.",True,294,132,scene0222_00,trash can,16,"['a', 'blue', 'waste', 'basket', 'possibly', 'for', 'recycling']",nr3d,False,True,False,True,False,False,False
8100,33770,scene0435_00-lamp-2-50-38,The correct lamp is in front of the window.,True,411,692,scene0435_00,lamp,50,"['the', 'correct', 'lamp', 'is', 'in', 'front', 'of', 'the', 'window']",nr3d,True,True,True,False,False,True,True
8151,26694,scene0378_00-chair-2-43-42,The brown chair under the chalkboard,True,656,367,scene0378_00,chair,43,"['the', 'brown', 'chair', 'under', 'the', 'chalkboard']",nr3d,True,True,True,True,False,True,False
8207,9769,scene0030_00-book-3-23-24-25,object is the book on the very bottom,True,127,353,scene0030_00,book,23,"['object', 'is', 'the', 'book', 'on', 'the', 'very', 'bottom']",nr3d,True,True,True,False,False,False,False
8208,21234,scene0435_00-trash_can-2-32-58,the trashcan next to the toilet,True,570,617,scene0435_00,trash can,32,"['the', 'trashcan', 'next', 'to', 'the', 'toilet']",nr3d,True,True,False,False,False,True,False
8209,14318,scene0389_00-backpack-2-27-18,The backpack closer to the door.,True,192,148,scene0389_00,backpack,27,"['the', 'backpack', 'closer', 'to', 'the', 'door']",nr3d,True,True,False,False,False,True,False
8239,35909,scene0030_00-window-3-26-27-58,The window closest to the chalk board,True,280,27,scene0030_00,window,26,"['the', 'window', 'closest', 'to', 'the', 'chalk', 'board']",nr3d,True,True,True,False,False,False,False
8297,35291,scene0046_00-door-2-26-21,The door to the bathroom,True,163,137,scene0046_00,door,26,"['the', 'door', 'to', 'the', 'bathroom']",nr3d,True,True,True,False,False,True,False
8396,34135,scene0046_00-backpack-3-18-50-52,bag nearest computer,True,175,112,scene0046_00,backpack,18,"['bag', 'nearest', 'computer']",nr3d,False,True,True,False,False,False,False
8397,31860,scene0030_00-book-3-23-24-25,The correct books are on the ground.,True,411,429,scene0030_00,book,23,"['the', 'correct', 'books', 'are', 'on', 'the', 'ground']",nr3d,True,True,True,True,False,False,False
8405,18441,scene0378_00-desk-3-35-0-44,"A swivel chair faces this desk, which is the biggest desk.",True,353,30,scene0378_00,desk,35,"['a', 'swivel', 'chair', 'faces', 'this', 'desk', 'which', 'is', 'the', 'biggest', 'desk']",nr3d,True,True,False,False,False,False,False
8500,34791,scene0086_00-toilet-2-6-7,The toilet in the large ADA bathroom.,True,650,85,scene0086_00,toilet,6,"['the', 'toilet', 'in', 'the', 'large', 'ada', 'bathroom']",nr3d,True,True,True,False,True,True,False
8563,34637,scene0030_00-book-3-23-24-25,The lowest box of books.,True,564,444,scene0030_00,book,23,"['the', 'lowest', 'box', 'of', 'books']",nr3d,True,True,True,False,False,False,False
8584,7596,scene0030_00-table-5-48-47-49-50-51,The table that is slightly closest to the book shelves,True,163,190,scene0030_00,table,48,"['the', 'table', 'that', 'is', 'slightly', 'closest', 'to', 'the', 'book', 'shelves']",nr3d,True,True,True,False,False,False,False
8694,23005,scene0222_00-pillow-2-20-19,The pillow on the bed close to the light blue object in room,True,694,32,scene0222_00,pillow,20,"['the', 'pillow', 'on', 'the', 'bed', 'close', 'to', 'the', 'light', 'blue', 'object', 'in', 'room']",nr3d,True,True,True,True,False,True,False
8698,17427,scene0011_00-trash_can-2-15-32,This trashcan is by a large screen on the wall.,True,353,658,scene0011_00,trash can,15,"['this', 'trashcan', 'is', 'by', 'a', 'large', 'screen', 'on', 'the', 'wall']",nr3d,True,True,True,False,True,True,False
8701,10434,scene0378_00-chair-2-43-42,The chair under the chalkboard,True,596,260,scene0378_00,chair,43,"['the', 'chair', 'under', 'the', 'chalkboard']",nr3d,True,True,True,False,False,True,False
8713,1925,scene0030_00-table-5-50-47-48-49-51,choose the table closest to the chalkboard.,True,356,85,scene0030_00,table,50,"['choose', 'the', 'table', 'closest', 'to', 'the', 'chalkboard']",nr3d,True,True,True,False,False,False,False
8969,8956,scene0011_00-trash_can-2-32-15,This trashcan is by a double door.,True,353,312,scene0011_00,trash can,32,"['this', 'trashcan', 'is', 'by', 'a', 'double', 'door']",nr3d,True,True,True,False,False,True,False
8996,37568,scene0086_00-paper_towel_dispenser-2-18-17,"The beige, lower one",True,262,190,scene0086_00,paper towel dispenser,18,"['the', 'beige', 'lower', 'one']",nr3d,False,False,True,True,False,True,False
8997,35258,scene0222_00-desk-2-14-13,The smaller desk with a blue trash can next to it.,True,188,353,scene0222_00,desk,14,"['the', 'smaller', 'desk', 'with', 'a', 'blue', 'trash', 'can', 'next', 'to', 'it']",nr3d,True,True,False,True,True,True,False
9015,6223,scene0389_00-nightstand-2-19-20,"If you are sitting in bed with your head against the headboard, it is the nightstand to your left.",True,111,429,scene0389_00,nightstand,19,"['if', 'you', 'are', 'sitting', 'in', 'bed', 'with', 'your', 'head', 'against', 'the', 'headboard', 'it', 'is', 'the', 'nightstand', 'to', 'your', 'left']",nr3d,True,True,True,False,False,True,True
9063,19516,scene0011_00-window-2-24-23,The left window.,True,469,32,scene0011_00,window,24,"['the', 'left', 'window']",nr3d,True,True,True,False,False,True,True
9107,41129,scene0222_00-pillow-2-19-20,The pillow closer to the door.,True,192,514,scene0222_00,pillow,19,"['the', 'pillow', 'closer', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
9130,14144,scene0030_00-table-5-48-47-49-50-51,"When looking at the shelves of books, this table runs parallel to the shelves and is on the left.",True,295,617,scene0030_00,table,48,"['when', 'looking', 'at', 'the', 'shelves', 'of', 'books', 'this', 'table', 'runs', 'parallel', 'to', 'the', 'shelves', 'and', 'is', 'on', 'the', 'left']",nr3d,True,True,True,False,False,False,True
9259,4219,scene0389_00-door-2-7-12,The door next to the AC.,True,564,30,scene0389_00,door,7,"['the', 'door', 'next', 'to', 'the', 'ac']",nr3d,True,True,False,False,False,True,False
9373,15727,scene0086_00-bathroom_stall_door-2-10-29,The bathroom stall door to the large handicapped stall,True,163,661,scene0086_00,bathroom stall door,10,"['the', 'bathroom', 'stall', 'door', 'to', 'the', 'large', 'handicapped', 'stall']",nr3d,True,True,True,False,True,True,False
9488,486,scene0378_00-desk-3-0-35-44,Choose the desk closes to the door.,True,308,471,scene0378_00,desk,0,"['choose', 'the', 'desk', 'closes', 'to', 'the', 'door']",nr3d,True,True,False,False,False,False,False
9490,26053,scene0011_00-trash_can-2-32-15,face the fridge and then move to the trash can on the ground in the left corner.,True,491,553,scene0011_00,trash can,32,"['face', 'the', 'fridge', 'and', 'then', 'move', 'to', 'the', 'trash', 'can', 'on', 'the', 'ground', 'in', 'the', 'left', 'corner']",nr3d,True,True,True,True,False,True,True
9497,15260,scene0086_00-rail-2-15-16,"The correct rail is the one beside the toilet, not the one above it.",True,411,192,scene0086_00,rail,15,"['the', 'correct', 'rail', 'is', 'the', 'one', 'beside', 'the', 'toilet', 'not', 'the', 'one', 'above', 'it']",nr3d,True,True,True,False,False,True,False
9663,7852,scene0222_00-desk-2-13-14,The desk with a fan on it,True,596,617,scene0222_00,desk,13,"['the', 'desk', 'with', 'a', 'fan', 'on', 'it']",nr3d,True,True,True,False,False,True,False
9669,39447,scene0222_00-trash_can-3-17-16-34,The trash can to the left of the two trash cans that are side by side,True,163,646,scene0222_00,trash can,17,"['the', 'trash', 'can', 'to', 'the', 'left', 'of', 'the', 'two', 'trash', 'cans', 'that', 'are', 'side', 'by', 'side']",nr3d,True,True,True,False,False,False,True
9691,185,scene0046_00-shoes-2-49-48,The shoes furthest from the door and closest to the window.,True,695,553,scene0046_00,shoes,49,"['the', 'shoes', 'farthest', 'from', 'the', 'door', 'and', 'closest', 'to', 'the', 'window']",nr3d,True,True,True,False,False,True,False
9722,35136,scene0378_00-office_chair-2-41-40,The brown office chair,True,570,129,scene0378_00,office chair,41,"['the', 'brown', 'office', 'chair']",nr3d,True,True,False,True,False,True,False
9733,18621,scene0435_00-picture-2-57-28,picture on wall facing beds and next to tv,True,162,488,scene0435_00,picture,57,"['picture', 'on', 'wall', 'facing', 'beds', 'and', 'next', 'to', 'tv']",nr3d,True,True,True,False,False,True,True
9734,35553,scene0378_00-cup-2-32-31,choose the cup closest to the bookcase.,True,356,312,scene0378_00,cup,32,"['choose', 'the', 'cup', 'closest', 'to', 'the', 'bookcase']",nr3d,True,True,True,False,False,True,False
9773,28662,scene0011_00-cabinet-2-20-28,"If you are facing the cabinets, it's the one on the right.",True,56,190,scene0011_00,cabinet,20,"['if', 'you', 'are', 'facing', 'the', 'cabinets', 'it', 'is', 'the', 'one', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True,True
9785,3211,scene0046_00-backpack-3-52-18-50,Find the backpack that is near the foot of the bed and in front of the tall cabinet.,True,29,710,scene0046_00,backpack,52,"['find', 'the', 'backpack', 'that', 'is', 'near', 'the', 'foot', 'of', 'the', 'bed', 'and', 'in', 'front', 'of', 'the', 'tall', 'cabinet']",nr3d,True,True,True,False,True,False,True
9814,8988,scene0046_00-shoes-2-49-48,choose the shoes on the floor to the left of the desk and in front of the chair by the desk.,True,356,30,scene0046_00,shoes,49,"['choose', 'the', 'shoes', 'on', 'the', 'floor', 'to', 'the', 'left', 'of', 'the', 'desk', 'and', 'in', 'front', 'of', 'the', 'chair', 'by', 'the', 'desk']",nr3d,True,True,True,False,False,True,True
9834,40977,scene0030_00-table-5-51-47-48-49-50,The table closest to the white door with a black handle.,True,371,85,scene0030_00,table,51,"['the', 'table', 'closest', 'to', 'the', 'white', 'door', 'with', 'a', 'black', 'handle']",nr3d,True,True,True,True,False,False,False
9838,30000,scene0435_00-trash_can-2-32-58,"It is the trash can in the bathroom, next to the toilet.",True,56,16,scene0435_00,trash can,32,"['it', 'is', 'the', 'trash', 'can', 'in', 'the', 'bathroom', 'next', 'to', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
9846,28131,scene0222_00-desk-2-13-14,the desk is beside the bed,True,127,353,scene0222_00,desk,13,"['the', 'desk', 'is', 'beside', 'the', 'bed']",nr3d,True,True,True,False,False,True,False
9876,9305,scene0222_00-pillow-2-20-19,The pillow on the bed farthest from the door.,True,564,21,scene0222_00,pillow,20,"['the', 'pillow', 'on', 'the', 'bed', 'farthest', 'from', 'the', 'door']",nr3d,True,True,True,False,False,True,False
9970,22403,scene0030_00-window-3-58-26-27,the window in the middle,True,127,444,scene0030_00,window,58,"['the', 'window', 'in', 'the', 'middle']",nr3d,True,True,True,False,False,False,False
10080,2796,scene0389_00-door-2-7-12,the main door into the room,True,668,45,scene0389_00,door,7,"['the', 'main', 'door', 'into', 'the', 'room']",nr3d,True,True,True,False,False,True,False
10160,32202,scene0086_00-paper_towel_dispenser-2-18-17,It is the paper towel dispenser closest to the floor and sink.,True,179,21,scene0086_00,paper towel dispenser,18,"['it', 'is', 'the', 'paper', 'towel', 'dispenser', 'closest', 'to', 'the', 'floor', 'and', 'sink']",nr3d,True,True,True,False,False,True,False
10169,10746,scene0435_00-door-3-21-13-18,"if beds are left, it is the door also on left.",True,143,188,scene0435_00,door,21,"['if', 'beds', 'are', 'left', 'it', 'is', 'the', 'door', 'also', 'on', 'left']",nr3d,True,True,True,False,False,False,True
10180,14229,scene0435_00-door-3-21-13-18,The square next to the bathroom door.,True,469,353,scene0435_00,door,21,"['the', 'square', 'next', 'to', 'the', 'bathroom', 'door']",nr3d,True,True,True,False,True,False,False
10194,11621,scene0222_00-trash_can-3-34-16-17,the trash can is blue  one left to the door,True,127,85,scene0222_00,trash can,34,"['the', 'trash', 'can', 'is', 'blue', 'one', 'left', 'to', 'the', 'door']",nr3d,True,True,True,True,False,False,True
10212,11703,scene0435_00-towel-2-34-30,the towels hanging from the shower.,True,645,437,scene0435_00,towel,34,"['the', 'towels', 'hanging', 'from', 'the', 'shower']",nr3d,True,True,False,False,False,True,False
10269,3090,scene0030_00-book-3-24-23-25,The 3 tier shelf by door it's the middle portion of it,True,694,645,scene0030_00,book,24,"['the', 'three', 'tier', 'shelf', 'by', 'door', 'it', 'is', 'the', 'middle', 'portion', 'of', 'it']",nr3d,False,True,True,False,False,False,False
10314,25848,scene0030_00-bookshelf-5-18-17-19-20-68,Choose the bookcase on the far left.,True,469,562,scene0030_00,bookshelf,18,"['choose', 'the', 'bookcase', 'on', 'the', 'far', 'left']",nr3d,True,True,True,False,False,False,True
10363,5732,scene0378_00-office_chair-2-41-40,Choose the brown office chair.,True,308,645,scene0378_00,office chair,41,"['choose', 'the', 'brown', 'office', 'chair']",nr3d,True,True,False,True,False,True,False
10378,29027,scene0046_00-backpack-3-50-18-52,This backpack is alongside a 'square' green chair.,True,353,694,scene0046_00,backpack,50,"['this', 'backpack', 'is', 'alongside', 'a', 'square', 'green', 'chair']",nr3d,True,True,True,True,True,False,False
10396,34456,scene0378_00-chair-2-43-42,The chair closest to the chalk board.,True,506,327,scene0378_00,chair,43,"['the', 'chair', 'closest', 'to', 'the', 'chalk', 'board']",nr3d,True,True,True,False,False,True,False
10399,20120,scene0435_00-shoes-2-16-17,These shoes are adjacent to the nearby door rather than in front of it.,True,353,645,scene0435_00,shoes,16,"['these', 'shoes', 'are', 'adjacent', 'to', 'the', 'nearby', 'door', 'rather', 'than', 'in', 'front', 'of', 'it']",nr3d,True,True,True,False,False,True,True
10405,2180,scene0011_00-table-2-2-17,This is the large conference table with many chairs.,True,353,693,scene0011_00,table,2,"['this', 'is', 'the', 'large', 'conference', 'table', 'with', 'many', 'chairs']",nr3d,True,True,True,False,True,True,False
10436,37242,scene0030_00-bookshelf-5-19-17-18-20-68,The cabinet in the corner farthest away from the door,True,596,553,scene0030_00,bookshelf,19,"['the', 'cabinet', 'in', 'the', 'corner', 'farthest', 'away', 'from', 'the', 'door']",nr3d,False,True,True,False,False,False,False
10457,17651,scene0011_00-cabinet-2-20-28,the smaller cabinet to the right,True,220,230,scene0011_00,cabinet,20,"['the', 'smaller', 'cabinet', 'to', 'the', 'right']",nr3d,True,True,True,False,True,True,True
10520,30209,scene0086_00-rail-2-16-15,This rail is behind the toilet.,True,353,203,scene0086_00,rail,16,"['this', 'rail', 'is', 'behind', 'the', 'toilet']",nr3d,True,True,True,False,False,True,True
10577,19819,scene0378_00-cup-2-31-32,This cup is colored blue and is next to a magazine with Toby on it.,True,628,188,scene0378_00,cup,31,"['this', 'cup', 'is', 'colored', 'blue', 'and', 'is', 'next', 'to', 'a', 'magazine', 'with', 'toby', 'on', 'it']",nr3d,True,True,True,True,False,True,False
10588,36253,scene0011_00-table-2-17-2,the desk directly below the board on the wall,True,283,710,scene0011_00,table,17,"['the', 'desk', 'directly', 'below', 'the', 'board', 'on', 'the', 'wall']",nr3d,True,True,True,False,False,True,False
10702,22111,scene0435_00-bed-2-10-11,"When standing at the foot of the beds,  the one on the right.",True,309,230,scene0435_00,bed,10,"['when', 'standing', 'at', 'the', 'foot', 'of', 'the', 'beds', 'the', 'one', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True,True
10717,26918,scene0389_00-bag-2-22-23,The bag is in between a nightstand and another bag.,True,628,132,scene0389_00,bag,22,"['the', 'bag', 'is', 'in', 'between', 'a', 'nightstand', 'and', 'another', 'bag']",nr3d,True,True,True,False,False,True,False
10846,11154,scene0435_00-picture-2-28-57,Find the picture hanging above the toilet.,True,73,137,scene0435_00,picture,28,"['find', 'the', 'picture', 'hanging', 'above', 'the', 'toilet']",nr3d,True,True,True,False,False,True,False
10912,28576,scene0222_00-pillow-2-19-20,It is the pillow closest to the door.,True,56,132,scene0222_00,pillow,19,"['it', 'is', 'the', 'pillow', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
11021,37684,scene0086_00-toilet-2-7-6,The smaller stall in the bathroom,True,694,554,scene0086_00,toilet,7,"['the', 'smaller', 'stall', 'in', 'the', 'bathroom']",nr3d,False,True,True,False,True,True,False
11086,7591,scene0222_00-door-2-3-24,The large black shelf across from the bed with the dark blanket and white pillow,True,67,694,scene0222_00,door,3,"['the', 'large', 'black', 'shelf', 'across', 'from', 'the', 'bed', 'with', 'the', 'dark', 'blanket', 'and', 'white', 'pillow']",nr3d,False,True,True,True,True,True,True
11103,12277,scene0222_00-chair-2-6-7,The un-pushed in chair,True,98,132,scene0222_00,chair,6,"['the', 'un', 'pushed', 'in', 'chair']",nr3d,True,True,False,False,False,True,False
11226,2696,scene0378_00-cup-2-31-32,The cup closest to the door.,True,564,661,scene0378_00,cup,31,"['the', 'cup', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
11255,23898,scene0086_00-door-2-9-8,Door with large vent.,True,309,247,scene0086_00,door,9,"['door', 'with', 'large', 'vent']",nr3d,True,True,False,False,True,True,False
11346,34742,scene0030_00-bookshelf-5-17-18-19-20-68,The tall bookshelf directly to the left of the door.,True,324,562,scene0030_00,bookshelf,17,"['the', 'tall', 'bookshelf', 'directly', 'to', 'the', 'left', 'of', 'the', 'door']",nr3d,True,True,True,False,True,False,True
11366,39957,scene0030_00-office_chair-3-0-1-2,Face the door at the opposite end of the room and then look at the seat in front of you.,True,491,260,scene0030_00,office chair,0,"['face', 'the', 'door', 'at', 'the', 'opposite', 'end', 'of', 'the', 'room', 'and', 'then', 'look', 'at', 'the', 'seat', 'in', 'front', 'of', 'you']",nr3d,False,True,True,False,False,False,True
11392,13113,scene0435_00-picture-2-57-28,This picture hangs above a dark desk.,True,353,610,scene0435_00,picture,57,"['this', 'picture', 'hangs', 'above', 'a', 'dark', 'desk']",nr3d,True,True,True,True,False,True,False
11453,27717,scene0046_00-backpack-3-50-18-52,Find the backpack that is farthest away from the window.,True,597,188,scene0046_00,backpack,50,"['find', 'the', 'backpack', 'that', 'is', 'farthest', 'away', 'from', 'the', 'window']",nr3d,True,True,True,False,False,False,False
11497,25198,scene0011_00-table-2-2-17,The biggest table in room,True,694,384,scene0011_00,table,2,"['the', 'biggest', 'table', 'in', 'room']",nr3d,True,True,False,False,False,True,False
11551,5724,scene0435_00-suitcase-2-60-63,Find the suitcase to the right of the desk.,True,308,562,scene0435_00,suitcase,60,"['find', 'the', 'suitcase', 'to', 'the', 'right', 'of', 'the', 'desk']",nr3d,True,True,True,False,False,True,True
11562,1979,scene0046_00-door-2-26-21,Choose the open door to the bathroom.,True,356,694,scene0046_00,door,26,"['choose', 'the', 'open', 'door', 'to', 'the', 'bathroom']",nr3d,True,True,True,False,False,True,False
11577,39150,scene0030_00-table-5-49-47-48-50-51,Choose the long table near the windows.,True,308,132,scene0030_00,table,49,"['choose', 'the', 'long', 'table', 'near', 'the', 'windows']",nr3d,True,True,True,False,True,False,False
11645,27244,scene0030_00-bookshelf-5-19-17-18-20-68,the smallest bookshelf in the corner of the room,True,570,554,scene0030_00,bookshelf,19,"['the', 'smallest', 'bookshelf', 'in', 'the', 'corner', 'of', 'the', 'room']",nr3d,True,True,True,False,True,False,False
11667,41296,scene0389_00-chair-2-2-3,The correct chair is closer to the TV.,True,411,30,scene0389_00,chair,2,"['the', 'correct', 'chair', 'is', 'closer', 'to', 'the', 'tv']",nr3d,True,True,False,False,False,True,False
11691,20554,scene0011_00-cabinet-2-28-20,"This is the taller cabinet, which extends to the floor.",True,353,335,scene0011_00,cabinet,28,"['this', 'is', 'the', 'taller', 'cabinet', 'which', 'extends', 'to', 'the', 'floor']",nr3d,True,True,False,False,True,True,False
11724,14568,scene0389_00-backpack-2-18-27,Choose the black backpack on the right side of the head of the bed on the floor.,True,356,32,scene0389_00,backpack,18,"['choose', 'the', 'black', 'backpack', 'on', 'the', 'right', 'side', 'of', 'the', 'head', 'of', 'the', 'bed', 'on', 'the', 'floor']",nr3d,True,True,True,True,False,True,True
11737,18205,scene0030_00-book-3-24-23-25,It is the books on the middle shelf.,True,56,702,scene0030_00,book,24,"['it', 'is', 'the', 'books', 'on', 'the', 'middle', 'shelf']",nr3d,True,True,True,False,False,False,False
11796,1577,scene0030_00-bookshelf-5-17-18-19-20-68,"The tall bookshelf that is closest to the door,",True,650,190,scene0030_00,bookshelf,17,"['the', 'tall', 'bookshelf', 'that', 'is', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,True,False,False
11835,8305,scene0030_00-office_chair-3-1-0-2,Choose the chair that is pulled out completely from the table.,True,308,702,scene0030_00,office chair,1,"['choose', 'the', 'chair', 'that', 'is', 'pulled', 'out', 'completely', 'from', 'the', 'table']",nr3d,False,True,True,False,False,False,False
11837,16601,scene0378_00-chair-2-42-43,the chair behind the desk,True,16,129,scene0378_00,chair,42,"['the', 'chair', 'behind', 'the', 'desk']",nr3d,True,True,True,False,False,True,True
11897,16694,scene0389_00-door-2-12-7,The correct door is the one next to the picture on the wall.,True,411,710,scene0389_00,door,12,"['the', 'correct', 'door', 'is', 'the', 'one', 'next', 'to', 'the', 'picture', 'on', 'the', 'wall']",nr3d,True,True,True,False,False,True,False
11932,11603,scene0435_00-door-3-21-13-18,The door that goes into the bathroom,True,596,190,scene0435_00,door,21,"['the', 'door', 'that', 'goes', 'into', 'the', 'bathroom']",nr3d,True,True,True,False,False,False,False
11968,902,scene0011_00-cabinet-2-28-20,The cabinets closest to the double doors.,True,66,21,scene0011_00,cabinet,28,"['the', 'cabinets', 'closest', 'to', 'the', 'double', 'doors']",nr3d,True,True,True,False,False,True,False
11981,33986,scene0011_00-trash_can-2-32-15,Find the trash can next to the double doors.,True,29,148,scene0011_00,trash can,32,"['find', 'the', 'trash', 'can', 'next', 'to', 'the', 'double', 'doors']",nr3d,True,True,False,False,False,True,False
12070,23844,scene0435_00-shoes-2-16-17,The silver dome that is the closest to the center or middle of the room.,True,650,651,scene0435_00,shoes,16,"['the', 'silver', 'dome', 'that', 'is', 'the', 'closest', 'to', 'the', 'center', 'or', 'middle', 'of', 'the', 'room']",nr3d,False,True,True,True,False,True,False
12140,20444,scene0030_00-window-3-26-27-58,the window next to the chalkboard,True,570,230,scene0030_00,window,26,"['the', 'window', 'next', 'to', 'the', 'chalkboard']",nr3d,True,True,False,False,False,False,False
12291,16542,scene0435_00-towel-2-30-34,The towel located on top of the water tank of toilet,True,694,596,scene0435_00,towel,30,"['the', 'towel', 'located', 'on', 'top', 'of', 'the', 'water', 'tank', 'of', 'toilet']",nr3d,True,True,True,False,False,True,False
12439,13743,scene0222_00-desk-2-14-13,in front of the chair with clothes on,True,627,353,scene0222_00,desk,14,"['in', 'front', 'of', 'the', 'chair', 'with', 'clothes', 'on']",nr3d,False,True,True,False,False,True,True
12500,23380,scene0389_00-chair-2-2-3,The chair nearest the TV,True,492,468,scene0389_00,chair,2,"['the', 'chair', 'nearest', 'the', 'tv']",nr3d,True,True,True,False,False,True,False
12532,30870,scene0086_00-bathroom_stall_door-2-29-10,The door to the small stall.,True,18,102,scene0086_00,bathroom stall door,29,"['the', 'door', 'to', 'the', 'small', 'stall']",nr3d,False,True,False,False,True,True,False
12534,18311,scene0030_00-bookshelf-5-17-18-19-20-68,the taller bookshelf next to the door,True,220,353,scene0030_00,bookshelf,17,"['the', 'taller', 'bookshelf', 'next', 'to', 'the', 'door']",nr3d,True,True,False,False,True,False,False
12550,19273,scene0011_00-window-2-24-23,"When facing the windows, the one on the left.",True,344,129,scene0011_00,window,24,"['when', 'facing', 'the', 'windows', 'the', 'one', 'on', 'the', 'left']",nr3d,True,True,True,False,False,True,True
12655,28556,scene0389_00-bag-2-22-23,the bag closest to the bed,True,220,645,scene0389_00,bag,22,"['the', 'bag', 'closest', 'to', 'the', 'bed']",nr3d,True,True,True,False,False,True,False
12734,34687,scene0011_00-cabinet-2-28-20,The steel refrigerator between the kitchen sink and the doors.,True,112,132,scene0011_00,cabinet,28,"['the', 'steel', 'refrigerator', 'between', 'the', 'kitchen', 'sink', 'and', 'the', 'doors']",nr3d,False,True,True,False,False,True,False
12751,2487,scene0222_00-chair-2-6-7,Chair pulled out from desk,True,129,183,scene0222_00,chair,6,"['chair', 'pulled', 'out', 'from', 'desk']",nr3d,True,True,True,False,False,True,False
12820,27588,scene0086_00-door-2-9-8,The door that's closest to the wall,True,694,645,scene0086_00,door,9,"['the', 'door', 'that', 'is', 'closest', 'to', 'the', 'wall']",nr3d,True,True,True,False,False,True,False
12841,37336,scene0378_00-cup-2-31-32,"There are two cups on a desk. If you are sitting in the chair at the desk, it is the cup on the right.",True,111,129,scene0378_00,cup,31,"['there', 'are', 'two', 'cups', 'on', 'a', 'desk', 'if', 'you', 'are', 'sitting', 'in', 'the', 'chair', 'at', 'the', 'desk', 'it', 'is', 'the', 'cup', 'on', 'the', 'right']",nr3d,True,True,True,False,False,True,True
13040,11333,scene0435_00-trash_can-2-32-58,The can in the bathroom.,True,564,127,scene0435_00,trash can,32,"['the', 'can', 'in', 'the', 'bathroom']",nr3d,True,True,True,False,False,True,False
13044,19326,scene0389_00-backpack-2-27-18,Backpack nearest to the door.,True,18,645,scene0389_00,backpack,27,"['backpack', 'nearest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
13056,28387,scene0086_00-rail-2-15-16,"This object is silver, under the toilet paper, and used to help you stand up.",True,520,451,scene0086_00,rail,15,"['this', 'object', 'is', 'silver', 'under', 'the', 'toilet', 'paper', 'and', 'used', 'to', 'help', 'you', 'stand', 'up']",nr3d,False,True,True,True,False,True,False
13060,23351,scene0030_00-book-3-25-23-24,"This row of books is on the top shelf, above the other 2 rows.",True,353,694,scene0030_00,book,25,"['this', 'row', 'of', 'books', 'is', 'on', 'the', 'top', 'shelf', 'above', 'the', 'other', 'two', 'rows']",nr3d,True,True,True,False,False,False,False
13372,6363,scene0046_00-backpack-3-52-18-50,choose the backpack on the floor by the standalone closet/cabinet.,True,356,371,scene0046_00,backpack,52,"['choose', 'the', 'backpack', 'on', 'the', 'floor', 'by', 'the', 'standalone', 'closet', 'cabinet']",nr3d,True,True,True,False,False,False,False
13374,30748,scene0086_00-paper_towel_dispenser-2-17-18,choose the top paper towel dispenser,True,356,661,scene0086_00,paper towel dispenser,17,"['choose', 'the', 'top', 'paper', 'towel', 'dispenser']",nr3d,True,True,False,False,False,True,False
13437,18673,scene0378_00-cup-2-32-31,find the cup closer to the wall clock and the computer,True,288,444,scene0378_00,cup,32,"['find', 'the', 'cup', 'closer', 'to', 'the', 'wall', 'clock', 'and', 'the', 'computer']",nr3d,True,True,True,False,False,True,False
13670,11990,scene0222_00-door-2-24-3,next to two files cabinet,True,627,190,scene0222_00,door,24,"['next', 'to', 'two', 'files', 'cabinet']",nr3d,False,True,False,False,False,True,False
13719,4663,scene0030_00-bookshelf-5-17-18-19-20-68,The taller shelf next to the door.,True,192,514,scene0030_00,bookshelf,17,"['the', 'taller', 'shelf', 'next', 'to', 'the', 'door']",nr3d,True,True,False,False,True,False,False
13727,17062,scene0435_00-door-3-18-13-21,Find the door across from the bathroom door.,True,308,553,scene0435_00,door,18,"['find', 'the', 'door', 'across', 'from', 'the', 'bathroom', 'door']",nr3d,True,True,True,False,False,False,True
13818,16006,scene0378_00-chair-2-42-43,The chair closest to the door.,True,564,190,scene0378_00,chair,42,"['the', 'chair', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,False
13880,11085,scene0030_00-blackboard-2-22-21,the blackboard near the door,True,26,132,scene0030_00,blackboard,22,"['the', 'blackboard', 'near', 'the', 'door']",nr3d,True,True,True,False,False,True,False
14141,27421,scene0011_00-table-2-2-17,The large table in the middle of the room.,True,564,422,scene0011_00,table,2,"['the', 'large', 'table', 'in', 'the', 'middle', 'of', 'the', 'room']",nr3d,True,True,True,False,True,True,False
14167,14855,scene0435_00-door-3-13-18-21,the door that houses a knob sign.,True,648,308,scene0435_00,door,13,"['the', 'door', 'that', 'houses', 'a', 'knob', 'sign']",nr3d,True,True,True,False,False,False,False
